Date,Open,High,Low,Close,Adj Close,Volume
2017-09-05,0.09,0.09,0.09,0.09,0.09,157716.0
2017-09-06,0.09,0.09,0.09,0.09,0.09,11704.0
2017-09-07,0.09,0.09,0.09,0.09,0.09,281380.0
2017-09-08,0.09,0.09,0.09,0.09,0.09,93900.0
2017-09-11,0.09,0.09,0.09,0.09,0.09,166838.0
2017-09-12,0.09,0.09,0.09,0.09,0.09,31916.0
2017-09-13,0.09,0.09,0.09,0.09,0.09,1003874.0
2017-09-14,0.09,0.09,0.09,0.09,0.09,2335.0
2017-09-15,0.09,0.09,0.09,0.09,0.09,177118.0
2017-09-18,0.09,0.09,0.09,0.09,0.09,9076.0
2017-09-19,0.09,0.09,0.09,0.09,0.09,8888.0
2017-09-20,0.09,0.09,0.09,0.09,0.09,30010.0
2017-09-21,0.09,0.09,0.09,0.09,0.09,66047.0
2017-09-22,0.09,0.09,0.09,0.09,0.09,709542.0
2017-09-25,0.09,0.09,0.09,0.09,0.09,7503.0
2017-09-26,0.09,0.09,0.09,0.09,0.09,160654.0
2017-09-27,0.09,0.09,0.09,0.09,0.09,14163.0
2017-09-28,0.09,0.09,0.09,0.09,0.09,152933.0
2017-09-29,0.09,0.09,0.09,0.09,0.09,68550.0
2017-10-02,0.09,0.09,0.08,0.08,0.08,480999.0
2017-10-03,0.08,0.08,0.08,0.08,0.08,66466.0
2017-10-04,0.08,0.08,0.08,0.08,0.08,11279.0
2017-10-05,0.08,0.08,0.08,0.08,0.08,17589.0
2017-10-06,0.08,0.08,0.08,0.08,0.08,10009.0
2017-10-09,0.08,0.08,0.08,0.08,0.08,7384.0
2017-10-10,0.08,0.08,0.08,0.08,0.08,41094.0
2017-10-11,0.08,0.08,0.08,0.08,0.08,197820.0
2017-10-12,0.08,0.08,0.08,0.08,0.08,3842.0
2017-10-13,0.08,0.08,0.08,0.08,0.08,52319.0
2017-10-16,0.08,0.08,0.08,0.08,0.08,78811.0
2017-10-17,0.08,0.08,0.08,0.08,0.08,66644.0
2017-10-18,0.08,0.08,0.08,0.08,0.08,8266.0
2017-10-19,0.08,0.08,0.08,0.08,0.08,2317.0
2017-10-20,0.08,0.08,0.08,0.08,0.08,15972.0
2017-10-23,0.08,0.08,0.08,0.08,0.08,109485.0
2017-10-24,0.08,0.08,0.08,0.08,0.08,133312.0
2017-10-25,0.08,0.08,0.08,0.08,0.08,98583.0
